french	english	category	definition	source_article
lotissement egal	equal plot division	town-rural	[Maison] 'maisons avec ou sans allees couvertes, mais baties d'apres un lotissement egal.'	Maison
boel / longs boels	Norman rural plot, longer than wide	house-plan	[Maison] 'On assignait donc aux colons des boels, ordinairement plus longs que larges... A l'une des extremites du boel, chacun elevait sa chaumiere.' NOTE: Quoted from L. Delisle via du Cange; the ancestor of the village street.	Maison
chaumiere	cottage, thatched cottage	house-plan	[Maison]	Maison
gynecee	women's quarters	house-plan	[Maison] Still mentioned by Gregory of Tours; gone by the 12th c, when 'la famille se reunit autour du meme foyer'. NOTE: A dating rule for interior programme.	Maison
tenure a moitie / metayer	sharecropping tenure / sharecropper	town-rural	[Maison] Usual in Languedoc in the middle ages as still in Viollet's day; replaced in Normandy from the 13th c by the bail a terme (fixed-term lease). NOTE: Given as the economic cause of the differing quality and rate of change of rural houses.	Maison
maisons croisees	cross-marked houses	carpentry-member	[Maison] Built in cemeteries, free of all secular jurisdiction, refuges for pilgrims and the sick under the supervision of religious; 'Ces maisons se reconnaissaient a des croix de bois fichees sur leur comble.' NOTE: A discrete, instantly recognisable building type: put wooden crosses on the roof.	Maison
arc d'ogive / arc ogive	diagonal rib	vault-member	[Construction -- Voutes] The projecting stone rib on the diagonal of a vault cell. Viollet is emphatic that this, not the pointed arch, is the 'veritable nom' of the member. NOTE: CRITICAL FALSE FRIEND. In Viollet 'ogive' NEVER means 'pointed arch'; a pointed arch is 'tiers-point' or 'arc brise'. Mistranslating this wrecks every passage.	Construction -- Voutes
voute en arcs d'ogive	rib vault	vault-member	[Construction -- Voutes] A vault whose cells are carried by an independent armature of diagonal and transverse stone arches. NOTE: Viollet's technical term for the Gothic system proper, as opposed to a merely ribbed dome ('coupole nervee').	Construction -- Voutes
arc doubleau	transverse arch / transverse rib	vault-member	[Construction -- Voutes] The arch spanning across the bay, from pier to pier, at right angles to the axis.	Construction -- Voutes
arc doubleau de recoupement	intermediate transverse arch	vault-member	[Construction -- Voutes] The extra transverse arch that cuts a square (sexpartite) bay into two. NOTE: Its rise must equal the radius of the semicircular diagonal (fig. 55).	Construction -- Voutes
formeret	wall arch	vault-member	[Construction -- Voutes] The arch lying against the wall, bounding the cell on the wall side. NOTE: In the French method this is the member that COMMANDS the web course count.	Construction -- Voutes
nerf	nerve, projecting rib	vault-member	[Construction -- Voutes] Generic term for any rib standing proud of the vault surface. NOTE: Viollet uses it for Roman brick ribs buried in the mass as well as for Gothic ribs.	Construction -- Voutes
lierne	ridge rib	vault-member	[Construction -- Voutes] A rib run along the crown line of the vault, from the crown of one arch to the crown of another. NOTE: Viollet derives it functionally: it exists to receive and mask the overlapping ends of web courses.	Construction -- Voutes
tierceron	tierceron	vault-member	[Construction -- Voutes] An intermediate rib springing with the others but landing on a ridge rib rather than at the vault crown. NOTE: Viollet derives it functionally too: to stop near-flat web courses from sagging at mid-length.	Construction -- Voutes
remplissage	web, infill	vault-member	[Construction -- Voutes] The masonry filling a cell between the ribs. NOTE: In the Ile-de-France method it is thin rubble (moellon), 0.10-0.12 m thick.	Construction -- Voutes
voutain	cell, small vault	vault-member	[Construction -- Voutes] One triangular panel of web treated as an independent little vault. NOTE: Key to Viollet's doctrine: 'Chaque triangle de la voute francaise est une cellule independante se maintenant d'elle-meme.'	Construction -- Voutes
moellon (piquer, moellon pique)	rubble, roughly dressed small stone	material	[Construction -- Voutes] Small hand-laid stone; 'pique' = pick-dressed. NOTE: Web unit width 0.08-0.15 m; thickness 0.10-0.12 m.	Construction -- Voutes
claveau	voussoir	vault-member	[Construction -- Voutes] One of the wedge stones of an arch.	Construction -- Voutes
tas-de-charge	tas-de-charge, the bonded springing block	vault-member	[Construction -- Voutes] The stack of horizontally bedded courses at the springing, out of which the ribs progressively emerge. NOTE: 'c'est-a-dire presentassent de veritables assises a lits horizontaux, afin de resister a la pression'.	Construction -- Voutes
assise	course	tool-process	[Construction -- Voutes] A single horizontal layer of masonry.	Construction -- Voutes
banc (hauteur des bancs)	quarry bed / bed height	tool-process	[Construction -- Voutes] The natural bed thickness of the quarry stone, which fixes the course height. NOTE: 'Il s'agit de diviser la hauteur PQ en un certain nombre d'assises, suivant la hauteur des bancs.' - i.e. the material, not the design, sets the number of springer courses.	Construction -- Voutes
lit	bed, joint plane	vault-geometry	[Construction -- Voutes] The face on which a stone rests or which it presents. NOTE: 'lits horizontaux' = horizontal beds; 'lit inferieur/superieur' = lower/upper bed.	Construction -- Voutes
coupe normale a la courbe	joint normal to the curve, radial joint	vault-geometry	[Construction -- Voutes] A joint plane perpendicular to the arch curve, i.e. radial. NOTE: Used only ABOVE the tas-de-charge, once a rib has freed itself.	Construction -- Voutes
douelle	soffit face, intrados face of a voussoir or course	vault-geometry	[Construction -- Voutes] The concave visible face. NOTE: Each French web course has a lens-shaped douelle, wider at mid-length than at its ends.	Construction -- Voutes
intrados / extrados	intrados / extrados	vault-geometry	[Construction -- Voutes] Inner (concave) and outer (convex) surface of an arch or vault. NOTE: The web epure is set out on the EXTRADOS of the ribs, not the intrados.	Construction -- Voutes
clef	keystone; also the crown, the crown level	vault-member	[Construction -- Voutes] The stone at the crown; by extension the crown point and its level. NOTE: In this article 'clef' is used far more often as a LEVEL DATUM than as a structural member.	Construction -- Voutes
ligne des clefs / ligne faitiere	ridge line, crown line	vault-geometry	[Construction -- Voutes] The line joining the crowns of the arches bounding a cell.	Construction -- Voutes
clef pendante	pendant boss / pendant key	vault-member	[Construction -- Voutes] A keystone hanging below the ribs. NOTE: 16th-century; Viollet gives their setting-out by equal division of the lierne branches.	Construction -- Voutes
fleche	rise, versine	vault-geometry	[Construction -- Voutes] Height of an arch crown above its springing line; also the rise of a chord over an arc.	Construction -- Voutes
plein cintre	semicircular arch	vault-geometry	[Construction -- Voutes] An arch struck on a full semicircle.	Construction -- Voutes
tiers-point	two-centred pointed arch	vault-geometry	[Construction -- Voutes] An arch of two circular branches meeting in a point at the crown. NOTE: 'formes d'arcs de cercle brises a la clef'.	Construction -- Voutes
surbaisse	depressed, segmental	vault-geometry	[Construction -- Voutes] An arch flatter than a semicircle.	Construction -- Voutes
surhausse / surelever la naissance	stilted / to stilt the springing	vault-geometry	[Construction -- Voutes] To raise the springing of an arch on a vertical stretch before the curve begins. NOTE: The standard device for making unequal spans crown level.	Construction -- Voutes
rampant / voute rampante	ramping, sloping-crowned vault	vault-geometry	[Construction -- Voutes] A vault whose crown line is inclined rather than level. NOTE: Typical of aisle and gallery vaults where the outer arch is wider than the inner.	Construction -- Voutes
barlong	oblong, rectangular (bay)	vault-geometry	[Construction -- Voutes] A bay longer in one direction; here the rectangular bay that replaced the square bay around 1230.	Construction -- Voutes
travee	bay	vault-geometry	[Construction -- Voutes] One structural division of a building.	Construction -- Voutes
cerce	cerce, sliding curved template	tool-process	[Construction -- Voutes] Two grooved curved boards keyed together so they can be lengthened, hooked onto the ribs by iron squares, on which each web course is turned. NOTE: Boards about 0.04 m thick. THE tool that makes centreless web building possible.	Construction -- Voutes
cintre-planchette	light board template	tool-process	[Construction -- Voutes] A small board curve used instead of a proper centre.	Construction -- Voutes
decintrage	striking the centering	tool-process	[Construction -- Voutes] Removing the falsework.	Construction -- Voutes
epure	full-size setting-out drawing	tool-process	[Construction -- Voutes] The geometrical drawing from which templates are taken. NOTE: 'Cette epure ne se fait pas sur le chantier' - the web epure is a theoretical demonstration, not shop practice.	Construction -- Voutes
appareilleur	setter-out, stone-cutting draughtsman	tool-process	[Construction -- Voutes] The man who draws the epures and issues the templates.	Construction -- Voutes
appareil / appareille	coursed ashlar / built in dressed courses	tool-process	[Construction -- Voutes] Cut-stone masonry laid to courses.	Construction -- Voutes
epannele	roughed out, blocked out	tool-process	[Construction -- Voutes] A voussoir shaped to its bounding envelope but not yet moulded.	Construction -- Voutes
panneau	templet, pattern board	tool-process	[Construction -- Voutes] The template handed to the stonecutter. NOTE: Must allow for the distortion of the mouldings at each successive bed.	Construction -- Voutes
tailloir	abacus	vault-member	[Construction -- Voutes] The slab over a capital. NOTE: In Gothic practice its plan is DERIVED from the springer bed outline, not chosen; may be square-return or star-shaped.	Construction -- Voutes
corbeille	basket, bell of a capital	vault-member	[Construction -- Voutes] The body of the capital under the abacus. NOTE: The springer front is always set plumb with the upper square of the corbeille.	Construction -- Voutes
astragale	astragal	vault-member	[Construction -- Voutes] The ring moulding at the top of a shaft. NOTE: One astragal can carry three baskets on a bundled springing.	Construction -- Voutes
crossette	crossette, hooked/stepped voussoir	vault-member	[Construction -- Voutes] A voussoir with a stepped rebate. NOTE: Explicitly rejected: 'ne peuvent jamais etre bien posees et dont les lits ne sauraient etre exactement remplis de mortier'.	Construction -- Voutes
queue	tail (of a voussoir)	vault-member	[Construction -- Voutes] The embedded rear end of a voussoir. NOTE: 'ecornant, au besoin, les queues de ces arcs' - clipping the tails; 'affamer les queues' = to starve/undercut them.	Construction -- Voutes
gauche (surface gauche)	warped, skew surface	vault-geometry	[Construction -- Voutes] A doubly ruled non-developable surface. NOTE: Something Gothic setters-out worked hard to avoid; wedge-shaped abaci exist for this reason.	Construction -- Voutes
arc-boutant	flying buttress	vault-member	[Construction -- Voutes] The arch carrying thrust from the high vault out to an external buttress. NOTE: Viollet: 'il ne soutire pas cette action oblique' - it does not draw the thrust off, it only opposes its effects.	Construction -- Voutes
culee	abutment	vault-member	[Construction -- Voutes] The mass receiving the thrust of an arch or flyer.	Construction -- Voutes
contre-fort	buttress	vault-member	[Construction -- Voutes] The external pier reinforcing a wall.	Construction -- Voutes
pile / pilier	pier	vault-member	[Construction -- Voutes] Free-standing support.	Construction -- Voutes
colonne monocylindrique / monostyle	single cylindrical column	vault-member	[Construction -- Voutes] A plain round column, as opposed to a bundle of shafts. NOTE: Viollet claims naves on these deformed less than those on compound piers rising from the floor.	Construction -- Voutes
colonnette	shaft, small column	vault-member	[Construction -- Voutes]	Construction -- Voutes
courbe des pressions	line of pressures, thrust line	vault-geometry	[Construction -- Voutes] The locus of the points where the resultant crosses each bed. NOTE: Viollet's stated equilibrium condition: the curve must nowhere leave the intrados/extrados lines of the arch; its first element at the crown is horizontal for a semicircular arch.	Construction -- Voutes
poussee	thrust	vault-geometry	[Construction -- Voutes]	Construction -- Voutes
poussee au vide	thrust into a void	vault-geometry	[Construction -- Voutes] Thrust bearing where there is no abutment. NOTE: What the Chalons architect 'craignait' on a small-radius circular plan.	Construction -- Voutes
methode preventive	the preventive method	vault-geometry	[Construction -- Voutes] Viollet's own coinage: destroying thrust at its origin by opposing a weaker counter-thrust plus a vertical load, so the obliques resolve into a vertical. NOTE: Contrasted with the method of merely CONTAINING the effects.	Construction -- Voutes
tassement	settlement	vault-geometry	[Construction -- Voutes] Downward movement of masonry as mortar compresses. NOTE: Viollet builds an entire intentional reading of Chalons on anticipated settlement.	Construction -- Voutes
cale	wedge, packing piece	vault-member	[Construction -- Voutes] A stone wedge closing an angle between two members. NOTE: 'une simple cale a en pierre forme coin entre le tailloir et les claveaux'.	Construction -- Voutes
bague	annulet, banding ring	vault-member	[Construction -- Voutes] A ring tying an en-delit shaft back into the wall.	Construction -- Voutes
blocage	rubble filling, concrete infill	vault-member	[Construction -- Voutes] Light stone and mortar poured between ribs and cells. NOTE: The Roman method; also the Burgundian expedient.	Construction -- Voutes
carrelage	flat-brick shell	vault-member	[Construction -- Voutes] A thin vault of large flat bricks laid on sparse lagging, which becomes the permanent centering for the real vault. NOTE: The Roman economy trick, from the article Voute.	Construction -- Voutes
cul-de-four	semi-dome	vault-member	[Construction -- Voutes]	Construction -- Voutes
berceau	barrel vault	vault-member	[Construction -- Voutes] NOTE: 'berceau annulaire' = annular barrel over a curved ambulatory.	Construction -- Voutes
voute d'arete	groin vault	vault-member	[Construction -- Voutes] A vault of two intersecting barrels. NOTE: 'voute d'arete romaine' = the groin vault WITHOUT ribs, curved in all directions.	Construction -- Voutes
arete	groin, arris	vault-member	[Construction -- Voutes] The line where two vault surfaces meet. NOTE: 'arete creuse' / 'angle rentrant' = a hollow, re-entrant arris - the defect the ridge rib hides.	Construction -- Voutes
aretier	hip rib, arris shaft	vault-member	[Construction -- Voutes] The angle member of a polygonal chapel.	Construction -- Voutes
pendentif	pendentive	vault-member	[Construction -- Voutes]	Construction -- Voutes
coupole	dome	vault-member	[Construction -- Voutes] NOTE: Coursed in concentric rings; the ancestor of both the Aquitaine and the English web.	Construction -- Voutes
precinction	circuit, concentric ring of supports	vault-member	[Construction -- Voutes] One ring of the ambulatory. NOTE: 'les deux precinctions exterieures devaient alors comprendre un plus grand nombre de piles'.	Construction -- Voutes
collateral / bas-cote	aisle	vault-member	[Construction -- Voutes]	Construction -- Voutes
rond-point	hemicycle	vault-member	[Construction -- Voutes] The semicircular or polygonal end of an apse.	Construction -- Voutes
absidiole	apsidal chapel	vault-member	[Construction -- Voutes]	Construction -- Voutes
triforium	triforium	vault-member	[Construction -- Voutes]	Construction -- Voutes
dalle	slab, flagstone	vault-member	[Construction -- Voutes] NOTE: 16th-century vaults are slabs rebated onto rib voussoirs.	Construction -- Voutes
caisson	coffer	vault-member	[Construction -- Voutes]	Construction -- Voutes
feuillure	rebate	vault-member	[Construction -- Voutes] The groove in which a slab is seated.	Construction -- Voutes
hachette	mason's hatchet / axe	tool-process	[Construction -- Voutes] The only cutting tool the web mason needs, besides his cerce.	Construction -- Voutes
archivolte	archivolt, arcade arch	vault-member	[Construction -- Voutes] The moulded arch of an arcade.	Construction -- Voutes
tore	torus, roll moulding	vault-member	[Construction -- Voutes] NOTE: At Mouliherne the ogives are 'que des tores a section demi-circulaire'.	Construction -- Voutes
en fruit	battering, leaning inward	vault-geometry	[Construction -- Voutes] Out of plumb by design or by settlement.	Construction -- Voutes
pallatre / pallastre / palatre	lock back-plate	lock-ironwork	[Serrurerie] The beaten-iron or sheet backplate on which the lock mechanism is 'piquees, c'est-a-dire montees et rivees' (pricked, i.e. mounted and riveted). Viollet keeps the word MASCULINE against modern usage: 'Pallatre est aujourd'hui feminin, mais Jousse le fait masculin.' It is also the layer the red cloth sits on: 'Entre ces ornements de fer battu et le pallatre, est appose un morceau de drap rouge.'	Serrurerie
pele (= pene)	bolt	lock-ironwork	[Serrurerie] FALSE FRIEND: Viollet's spelling of pene = the sliding BOLT of a lock. Not 'peel' and not a plate. 'en d , le pele avec ses cramponnets et ses ressorts' (fig. 26). 'pele dormant' = dead bolt (fig. 30).	Serrurerie
gachette	the outside sliding bolt-slide worked by a knob	lock-ironwork	[Serrurerie] FALSE FRIEND: NOT a modern trigger and NOT a tumbler. It is the slide visible on the outside of the lock, moved by the bouton. Housed under a gaine or coque (fig. 25 section ab).	Serrurerie
gache	keeper, staple in the frame	lock-ironwork	[Serrurerie] The socket in the door frame that the bolt shoots into. Lettered G on fig. 23 and g on fig. 34.	Serrurerie
bosse	the hammered-up raised lock case	lock-ironwork	[Serrurerie] The domed/raised case over the mechanism, held to the pallatre by the estoquiaux. 'serrure a bosse et a pele dormant' (fig. 30).	Serrurerie
cramponnet	small hook that the key lowers to BLOCK the bolt	lock-ironwork	[Serrurerie] A stop, not a spring - distinguish it from the ressorts it works against. 'en d , le pele avec ses cramponnets et ses ressorts.'	Serrurerie
estoquiaux	rivets / stays fixing the bosse to the pallatre	lock-ironwork	[Serrurerie] 'en c , les estoquiaux qui servent a maintenir la bosse de la serrure sur le pallatre.'	Serrurerie
fouets	key-guide wards riveted to the plate	lock-ironwork	[Serrurerie] 'en b , l'entree du panneton avec ses fouets piques sur le pallatre.'	Serrurerie
panneton	key bit	lock-ironwork	[Serrurerie] The projecting web of the key that turns in the lock.	Serrurerie
loquet a fleau	swinging-beam latch	lock-ironwork	[Serrurerie] The latch of a serrure a clenche, pivoting on a tourillon: 'Le mecanisme que donne notre figure se compose d'un loquet a fleau A monte sur un tourillon a.' (fig. 27, Lalinde, late 14th c.)	Serrurerie
tourillon	pivot pin, gudgeon	lock-ironwork	[Serrurerie] The pin the fleau of a latch swings on.	Serrurerie
rateau	rake (the toothed bar the key drives)	lock-ironwork	[Serrurerie] Lettered h on fig. 27, pivoting on axis s; its tail bears on the latch at i.	Serrurerie
poucoir	thumb-piece	lock-ironwork	[Serrurerie] The external lever pressed with the thumb to lift a latch.	Serrurerie
mentonnet	latch catch	lock-ironwork	[Serrurerie] The hooked catch the latch drops into.	Serrurerie
clenche	latch	lock-ironwork	[Serrurerie] 'serrure a clenche ou loquet' - a latch-lock. Viollet: 'Des le XVe siecle, on trouve deja des serrures dites a clenche ou loquet', yet he dates fig. 27 to the end of the 14th c.	Serrurerie
treffiere	openable from ONE side only	lock-ironwork	[Serrurerie] A lock that can be worked from a single face of the door.	Serrurerie
benarde	having TWO keyholes (workable from both sides)	lock-ironwork	[Serrurerie] The Angers lock of fig. 26 is benarde: 'est a deux entrees'.	Serrurerie
embase	reinforced base / collar of a lock	lock-ironwork	[Serrurerie] 'Un morceau de drap rouge garnit egalement le fond sous le feuillage de l'embase de la serrure precedente (fig. 30).'	Serrurerie
decoupures	the pierced openwork cut-outs	lock-ironwork	[Serrurerie] The cut sheet ornament. Load-bearing detail for a generator: the SAME rivets that fix the cut-outs also retain the cloth ground - 'un morceau de drap rouge maintenu par les rivets qui retiennent les decoupures.'	Serrurerie
drap rouge	red woollen broadcloth ground	material	[Serrurerie] A separate LAYER sandwiched between the openwork sheet and the backplate on French lockwork and pull-rings, attested three times (figs 25, 30, 31). Assembly order: pallatre -> cloth -> pierced fer battu -> rivets through all three. NOTE: Viollet is SILENT on tinning - zero occurrences of etame/etamer/etamage/etain/fer-blanc/blanchi/argent in 135,681 characters - so he neither confirms nor contradicts Gardner's 'brightly tinned' finish.	Serrurerie
marouflage / maroufler	gluing of skin, cloth or felt onto a door leaf	lock-ironwork	[Serrurerie] 'Ces ferrures sont posees sur des peaux marouflees sur le bois et peintes en rouge vif' (Ebreuil, early 12th c) and '...ou une peau, ou un feutre maroufle sur le vantail. D'ailleurs il en etait de meme pour la plupart des pentures, et l'on trouve encore les traces de ces marouflages.' Viollet asserts SURVIVING PHYSICAL TRACES, so this is evidence, and he generalises it to MOST hinge straps - a stronger claim than Gardner's.	Serrurerie
fer battu	beaten (hammered) sheet iron	material	[Serrurerie] The medieval term, as against tole (modern rolled sheet), and Viollet flags tole as OUR anachronism: 'des fers battus employes comme ornements, et que nous appellerions aujourd'hui de la tole repoussee'.	Serrurerie
corroyage	faggoting / piling of the bloom by repeated welding	tool-process	[Serrurerie] How medieval bar and plate were actually made, in the absence of rolls: 'autrefois le fer n'arrivait que peu a peu, et par un corroyage repete, de l'etat de lopin a celui de barreau ou de plaque.'	Serrurerie
etampe / etamper	hardened-iron swage or sinking die / to swage	tool-process	[Serrurerie] CRITICAL FALSE FRIEND - etampe is NOT etamer (to tin). Viollet defines it himself: 'C'est une matrice de fer trempe, un coin auquel on a donne en creux la forme de l'objet a etamper.' Reading an etampe passage as a tinned finish converts a hot-forging operation into a surface coating.	Serrurerie
martinet	water-driven tilt hammer	tool-process	[Serrurerie] The hammer under which the bloom was worked: 'lopins de fonte a peine corroyee au martinet'.	Serrurerie
lopin	bloom (the raw iron mass)	material	[Serrurerie] The starting stock, worked up by corroyage.	Serrurerie
laminage / laminoir / laminer	rolling / rolling mill / to roll	tool-process	[Serrurerie] FALSE FRIEND: this is ROLLING, not English 'laminated' (plied/layered). Viollet uses these words ONLY of modern industry and only to DENY them to the Middle Ages, three separate times. Gardner agrees. Any rendering of medieval French ironwork as 'laminated sheet' inverts the technical sense - what is attested is corroyage plus bands built up from parallel bars soldered only at their ends.	Serrurerie
embrasse	strap staple (for a bolt or bar)	lock-ironwork	[Serrurerie] Lettered B B on fig. 23 and a on fig. 34.	Serrurerie
auberon / auberonniere	hasp staple / its slot	lock-ironwork	[Serrurerie] The staple a hasp drops over, and the slot in it.	Serrurerie
moraillon	hasp	lock-ironwork	[Serrurerie] The hinged plate that drops over the auberon. Lettered e on fig. 34.	Serrurerie
vertevelle	hasp staple / turning catch	lock-ironwork	[Serrurerie] Fig. 32.	Serrurerie
verrou a cremaillere	rack bolt	lock-ironwork	[Serrurerie] Geared bolt for great gate leaves 'd'une hauteur de 4 a 5 metres', worked by a levier a engrenage c on axe d (fig. 34).	Serrurerie
penture	hinge strap	lock-ironwork	[Serrurerie] The long decorated strap across a door leaf. Built up from parallel bars: 'la bande ou le corps de la penture se compose, pour le collet, de quatre barres ; pour le premier membre, de trois barres... Ces barres, paralleles et jointives, ne sont soudees entre elles qu'a leurs extremites' (figs 12-13).	Serrurerie
brindille	applied twig-shaped rod	lock-ironwork	[Serrurerie] A slender applied rod imitating a twig in beaten-iron foliage.	Serrurerie
rouge sombre / rouge cerise / rouge blanc	dull red / cherry red / white heat	tool-process	[Serrurerie] Viollet's forging-temperature scale. 'chauffer au rouge blanc' = heat to WHITE HEAT for fire-welding - it does NOT describe a white or tinned surface.	Serrurerie
penture	strap-hinge (the door-leaf half)	hinge part	Viollet's own definition: "des bandes de fer clouees et boulonnees aux vantaux des portes, munies d'un oeil entrant dans un gond, destinees a suspendre ces vantaux et a permettre de les faire pivoter facilement sur ces gonds" - iron bands nailed and bolted to the door leaves, fitted with an EYE that goes over a PINTLE, to hang the leaf and let it pivot. NOTE: the penture is the whole strap including its eye; it is NOT the pintle.	Serrurerie
gond	pintle / hook-pin fixed in the jamb	pivot hardware	The male pivot sealed into stone or wood of the jamb. Its projecting nose is the mamelon; behind that a square renfort (shoulder) carries the load; f in fig. 1 is the scellement (the bedding/leading-in of the gond into the masonry).	Serrurerie
mamelon du gond	the nose/nipple of the pintle	pivot hardware	Jousse: "le bout qui sort dehors la pierre ou bois" - the end that projects out of the stone or wood; the penture's eye is rolled to this diameter.	Serrurerie
oeil	eye (rolled knuckle at the strap's inner end)	hinge part	b in fig. 1. Made by rolling the end of the flat bar round, to the diameter of the gond's mamelon, then welding the roll shut: "se replie en rond, de la grosseur du mamelon du gond ... qui sera soude si on veut, et arrondi en facon que le gond tourne aisement dedans".	Serrurerie
collet	collar / neck - the thickened root of the strap next to the eye	hinge part	c in fig. 1. The heaviest, most difficult part to forge; at Notre-Dame it is built up of FOUR parallel bars. Branches and the securing crampon attach at or behind its renflement (swelling).	Serrurerie
crampon d'attache	staple/clamp fixing	fixing	d in fig. 1; d' in section B. A staple passing OVER the collet behind its swelling, through the whole thickness of the door, riveted on the far side (double rivure at e). This is the primary structural fixing, not the nails.	Serrurerie
fausse penture	false penture / dummy strap (a decorative-structural band that carries no pivot)	hinge part	A band independent of the hinge proper, without eye or gond, whose job is to tie all the door's boards together: "une bande independante de la penture, et appelee fausse penture, rend toutes les frises du vantail solidaires".	Serrurerie
frises	the vertical boards/planks of the door leaf	carpentry	The planks the ironwork clamps together. Straps 'give the nose' (donner du nez) i.e. sag, under the weight of the frises if unbraced.	Serrurerie
donner du nez	to 'give the nose' - to droop/sag at the free end	failure mode	Viollet's own gloss: "c'est-a-dire de flechir sous le poids des frises" - to bend under the weight of the boards. The multiplied branches exist to prevent this.	Serrurerie
bande flamande	Flemish band - a strap that wraps BOTH faces of the door	hinge type	Jousse: two bars welded together, rolled as one to form the eye, then opened apart by the door's thickness and bent square so they grip both faces, "principallement du coste de dehors". Jousse rates them better than plain straps because they take both sides of the door.	Serrurerie
vantail / vantaux	door leaf / leaves	carpentry	The swinging panel.	Serrurerie
feuillure du jambage	rebate of the jamb	masonry	Line ops in fig. 1. The leaf's edge is often notched (entaille) to reach the back of the rebate, which forces the eye of the penture to be offset (detourne, m in detail C).	Serrurerie
affamer le bois / affame le fer	to starve the wood / to starve the iron	failure mode	To weaken by removing too much material. The offset eye is made narrower than the strap "pour ne pas trop affamer le bois"; and holes in bands "affame le fer et provoque souvent des brisures" - starve the iron and often cause fractures. This is why nail-eyes are made as scrolled volutes rather than drilled holes.	Serrurerie
rondelle	washer	pivot hardware	g in fig. 1: a washer interposed between the gond's square shoulder (renfort carre h) and the eye - i.e. the bearing/wear surface.	Serrurerie
doublure / nerf	lining plate / rib (stiffener welded to the main band)	structure	A second bar laid on the band and welded only AT INTERVALS via embrasses, leaving the two irons free between - deliberately, to keep elasticity and gain stiffness without weight.	Serrurerie
embrasse / embrassure	clasp band, collar-strap (welded-on ring or wrap over a joint)	structure	The strap-clasp that both joins bundled bars and hides the weld beneath. Structural AND ornamental.	Serrurerie
etampe	swage/die (a hardened iron matrix)	tool	Viollet defines it: "une matrice de fer trempe, un coin auquel on a donne en creux la forme de l'objet a estamper" - a hardened iron matrix, a wedge sunk with the intaglio form of the object. All the folioles and buttons of a bouquet were struck in etampes. NOTE false friend: etamper = to swage/stamp; etamer = to tin.	Serrurerie
brindille	twig (the smallest forged sprig)	ornament unit	Unit of the vegetal hierarchy: brindille -> bouquet -> branche secondaire -> branche principale -> bande.	Serrurerie
bouquet	bunch/spray (a welded cluster of brindilles)	ornament unit	Assembled off the work, then welded to a branch.	Serrurerie
foliole	leaflet	ornament unit	Struck in an etampe; welded over a joint; its weld boss is then swaged into a rosette (O) or an embase (P).	Serrurerie
embase	base/socket collar	ornament unit	A collar at the springing of a branch, widened to make the weld easier.	Serrurerie
renfort	reinforcement, upset thickening	structure	Obtained by refouler (upsetting) the iron - driving it back on itself to gather mass - then splitting and shaping it.	Serrurerie
refouler le fer	to upset the iron (drive it back on itself to gather metal)	technique	The manoeuvre that creates a renfort or the two souches of branches out of the parent bar: "il faut refouler le fer de maniere a en faire sortir les deux souches des branches".	Serrurerie
souche	stump/stub (the root a branch springs from)	structure	Raised out of the parent bar by upsetting, so the branch is welded stub-to-stub rather than onto a flat.	Serrurerie
refendre	to slit/split hot along the edge	technique	Slitting languettes (tongues) along the edges of a flat bar hot, then curling each into a volute - an ornament made WITHOUT any weld.	Serrurerie
languette	tongue (a slit-out strip)	technique	a in fig. 5, slit along the bar's edges then galbe'd into volutes a'.	Serrurerie
galber	to give a swelling profile / to curve to a contour	technique	Shaping the slit tongues into volutes.	Serrurerie
burin	cold chisel / graver	tool	Used INSTEAD of the file, which Viollet says did not exist for this work: angles were "eleges au burin, sans le secours de la lime, qui n'etait pas employee a cette epoque". Chisel cuts struck as the iron cooled to dark red both consolidate the weld and disguise hammer irregularities - they read as engraving.	Serrurerie
eleger	to lighten / cut away surplus	technique	Chisel-cutting away the metal that spread sideways under the hammer.	Serrurerie
greifier	greifier - the guild trade that made door furniture (pentures)	guild	Per Etienne Boileau's regulations: greifiers = "faiseurs de fermetures de portes (pentures)", distinct from grossiers (taillandiers, edge-tool makers) and serruriers (lock makers). No trade body existed for grosse serrurerie of building.	Serrurerie
rouge cerise / rouge blanc / rouge sombre	cherry red / white heat / dark red	technique	The differential-heat rule for welding one piece onto another: lower piece at cherry red, upper piece at white heat; hammer light blows first, harder as it cools. If both are at white heat "on risquerait, au premier coup de marteau, de ne plus rien trouver sur l'enclume" - one risks finding nothing left on the anvil.	Serrurerie
carton	full-size cartoon/pattern drawing	workshop method	First operation: draw the penture full size, "grandeur d'execution", as pattern for forging and swaging. Traced on a stone or a plaster slab; the work is laid back onto the pattern after every weld to check curves and lengths.	Serrurerie
jarreter	to break the line of a curve (a curve that 'kinks')	quality criterion	The defect to avoid when joining branches: obtaining "des courbes qui se suivent regulierement sans jarreter".	Serrurerie
martinet	water-powered tilt hammer	industry	"Un martinet mu par un cours d'eau composait tout le materiel d'une usine" - a water-driven tilt hammer was the whole plant of a works.	Serrurerie
lopin	bloom/billet of iron	material	Iron came as forged lopins of middling weight; smiths converted them by arm-power into bars, sheet, and small stock.	Serrurerie
corroyage	repeated working/fagoting of the iron	material	Viollet's claim for medieval iron quality: it reached bar only by repeated corroyage, not by one pass through rolls.	Serrurerie
