family_id,lane,status,broad_component,reuse_class,n_member_subrows,construction_invariant,geometry_generator,host_interface,joint_schedule,assembly_role,surface_realization,permitted_variation,incompatible_excluded,member_row_uids,proven_construction_rows,typed_uncertainty,donor_status,note
relief.pendant_palmette,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a heart-shaped palmette-and-scroll drop. Its identity is the geometry, not the transform that places it.",one authored master solid,applied to the front face of a post,applied to the front face of a post,instanced surface enrichment,carved wood,length to suit post height,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R080,R080,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.knee_acanthus_rocaille,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: an acanthus-and-shell cartouche filling a knee face and RETURNING ONTO THE RAIL. Its identity is the geometry, not the transform that places it.",one authored master solid,"carved in the solid, continuous across leg and rail","carved in the solid, continuous across leg and rail",instanced surface enrichment,carved wood,instance scale; mirroring; presence (a plainer bench drops it),every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R106,R106,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.carved_roundel,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a disc-within-a-ring set in a squarish block. Its identity is the geometry, not the transform that places it.",one authored master solid,repeated in vertical strings interrupting pilaster reeding,repeated in vertical strings interrupting pilaster reeding,instanced surface enrichment,carved wood,diameter; count per string (tunes block length),every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R185,R185,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.anthemion_capital,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: an upright acanthus/anthemion capital master. Its identity is the geometry, not the transform that places it.",one authored master solid,instanced along a path,instanced along a path,instanced surface enrichment,carved and gilded wood,instance pitch; scale ramp along the run,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R234.a,R234.a,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.husk_laurel_swag,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a husk-and-laurel swag with an anthemion drop at each junction. Its identity is the geometry, not the transform that places it.",one authored master solid,hung between junction points along a run,hung between junction points along a run,instanced surface enrichment,carved and gilded wood,swag sag depth; span between junctions; husk count,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R234.b,R234.b,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.dentil_block,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a dentil block. Its identity is the geometry, not the transform that places it.",one authored master solid,instanced along a cornice bed at a pitch,instanced along a cornice bed at a pitch,instanced surface enrichment,carved wood,block section; PITCH; run length,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R234.c,R234.c,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.drilled_dot,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a drilled dot. Its identity is the geometry, not the transform that places it.",one authored master solid,"drilled into the host face - SUBTRACTIVE, unlike every other master here","drilled into the host face - SUBTRACTIVE, unlike every other master here",instanced surface enrichment,drilled wood,diameter; depth; spacing along a band,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R234.d,R234.d,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.bolection_field,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: an applied bolection-moulded field, outline rectangle or lozenge. Its identity is the geometry, not the transform that places it.",one authored master solid,applied to a panel or door face,applied to a panel or door face,instanced surface enrichment,moulded wood,outline (rectangle vs lozenge); field size; moulding step count,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R297,R297,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.floral_block,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved floral relief block for a bed post. Its identity is the geometry, not the transform that places it.",one authored master solid,the same carved face repeated around a block - ONE tile drives the component,the same carved face repeated around a block - ONE tile drives the component,instanced surface enrichment,carved wood,block height; face width; relief depth,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R332,R332,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.pierced_rosette_ring,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a pierced ring enclosing a many-petalled rosette - the apron's atomic unit. Its identity is the geometry, not the transform that places it.",one authored master solid,pierced THROUGH the ground or applied solid - both states recorded,pierced THROUGH the ground or applied solid - both states recorded,instanced surface enrichment,carved wood,ring diameter; petal count; pierce-through vs solid ground; linear pitch,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R355,R355,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.acanthus_collar,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a leaf collar capping a leg turning. Its identity is the geometry, not the transform that places it.",one authored master solid,seated around the top of a turning,seated around the top of a turning,instanced surface enrichment,carved wood,leaf count; collar height,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R357.a,R357.a,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.rosette_die_panel,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a square foliate panel with a central rosette filling a corner die block. Its identity is the geometry, not the transform that places it.",one authored master solid,fills the face of a die block,fills the face of a die block,instanced surface enrichment,carved wood,panel size; rosette petal count,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R357.b,R357.b,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.beaded_teardrop_lappet,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a swollen teardrop bounded by a beaded ogee outline - the unit of the gilt drum sleeves. Its identity is the geometry, not the transform that places it.",one authored master solid,instanced around a drum register,instanced around a drum register,instanced surface enrichment,cast/chased gilt brass,lappet width; bead pitch; teardrop taper; count around the circumference,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R439,R439,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.heart_lappet,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a broad heart/lotus leaf with a small spearhead between each pair, run around a foot flare. Its identity is the geometry, not the transform that places it.",one authored master solid,instanced around the flare of a base ring,instanced around the flare of a base ring,instanced surface enrichment,cast/chased gilt brass,leaf width; interstitial motif; count around the ring,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R440,R440,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.glass_cabochon,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a hemispherical red glass boss, instanced in rows and strung along engraved swag lines. Its identity is the geometry, not the transform that places it.",one authored master solid,"SET into a metal or stone seat - a glazier's job, not a carver's","SET into a metal or stone seat - a glazier's job, not a carver's",instanced surface enrichment,moulded red glass,diameter (about two sizes); row pitch; stringing along a curve,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R438,R438,R438=quantity,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.mop_disc_in_bezel,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a flat circular mother-of-pearl disc seated in a raised gilt ring bezel. Its identity is the geometry, not the transform that places it.",one authored master solid,the BEZEL is the interface - a raised metal ring that captures the shell disc,the BEZEL is the interface - a raised metal ring that captures the shell disc,instanced surface enrichment,"shell disc + gilt metal bezel - two materials, two processes",disc diameter (two scales recorded); bezel ring section,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R034,R034,R034=quantity,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.carved_rosette_patera,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved rosette/patera - host-carved relief. Its identity is the geometry, not the transform that places it.",one authored master solid,carved into or applied onto the host - method not separated in the row,carved into or applied onto the host - method not separated in the row,instanced surface enrichment,carved wood,scale; petal count; relief depth,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R114.c,R114.c,R114.c=quantity,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.flower_chain_run,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved flower-in-linked-chain - a linked repeating carved band. Its identity is the geometry, not the transform that places it.",one authored master solid,carved along a run on the host,carved along a run on the host,instanced surface enrichment,carved wood,chain pitch; flower scale; run length,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R114.d,R114.d,R114.d=quantity,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.carved_palmette,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved palmette - host-carved relief. Its identity is the geometry, not the transform that places it.",one authored master solid,carved into or applied onto the host - method not separated in the row,carved into or applied onto the host - method not separated in the row,instanced surface enrichment,carved wood,scale; frond count,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R114.f,R114.f,R114.f=quantity,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
relief.applied_wreath_ring,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved wreath ring APPLIED as a centre ornament, hosting a swappable inset. Its identity is the geometry, not the transform that places it.",one authored master solid,"applied to the ground - ATTACHMENT METHOD UNRESOLVED (glue, screws or pins; the source shows the applied state, never the fixing)",applied; fixing method unresolved,instanced surface enrichment,carved wood,ring diameter; leaf/blossom density; which inset it hosts,every other relief master; ornament carved into its ground,R303.a,,R303.a=construction,AUDIT_REQUIRED,"The final audit removed the 'glued' claim: the source term says 'applied centre ornament' and nothing about adhesive. Applied-ness is visible; the fixing is not - unlike R356's garland, whose screws are photographed from behind. Construction uncertainty, honestly carried."
inlay.inset_swappable_cell,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"An inset marquetry cell that DROPS INTO a carved host - the same wreath can host different inlay. A veneer cut, not relief geometry.",flat 2D marquetry cell,a recess in a carved applied ornament,let into the recess,swappable centre of a cartouche,marquetry veneer,cell size; which motif fills it,"the carved ring that hosts it, which is wood relief; host-carved linenfold",R303.b,R303.b,,AUDIT_REQUIRED,"Split from ornament.carved_in_solid_face, where v3 had put a marquetry cell alongside carved wood. 'the inset shield panel is a swappable marquetry cell, so the same carved wreath can host different inlay.'"
inlay.closed_line_outline_master,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A pure CLOSED LINE-FIGURE master with no botanical or figural content. It retargets by STRETCHING rather than by re-cutting, which no botanical motif can do.",a closed 2D outline with end caps,a veneered face,let into the veneer,repeated geometric accent,contrast-wood veneer,"aspect ratio; end-cap radius - stretch parameters, not density parameters","botanical motif sets, which must be re-scattered rather than stretched",R154,R154,,AUDIT_REQUIRED,"Removed from ornament.marquetry_motif_set per the audit. The row states the divergence itself: 'there is no figural or botanical marquetry element anywhere on this object - the repeated masters are pure closed line-figures, so they retarget by stretching rather than by re-cutting.'"
inlay.keyhole_cartouche,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"An inlaid trefoil ribbon knot FRAMING A KEYHOLE - a functional marker keyed to a hardware position, not a field filler.",a 2D master placed on a keyhole centre,"a drawer front, centred on the lock","let into the veneer, aligned to the keyhole",marks an opening,marquetry veneer,scale; whether it wraps a brass plate or a bare keyhole,"botanical field motifs, which are placed by density rather than by a hardware position",R186,R186,,AUDIT_REQUIRED,Removed from ornament.marquetry_motif_set per the audit. 'a ready-made this-opens visual marker for any drawer asset.'
inlay.star_scatter_master,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,A flat inlaid MOP star run at 4+ sizes and scattered over a field - veneer-cut.,"a flat 2D master, scattered",a veneered field,let into the veneer,scattered field enrichment,mother-of-pearl,scale (4+ sizes on the top alone); scatter density,"every carved master from the same source row, which is host geometry; the MOP disc and abalone plaque, which are different figures",R114.a,R114.a,R114.a=quantity,AUDIT_REQUIRED,"R114 names SIX masters and the final audit split all six. This is the MOP star ('approx 120+ instances across top slab plus approx 30 per end panel' - approx, hence quantity uncertainty). Its five siblings each have their own family."
inlay.mop_disc_master,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A flat inlaid mother-of-pearl circular disc - veneer/shell-cut, set flush. NOT the bezel-captured disc of 2012.216, which is a different interface on a different object.","a flat 2D shell disc, scattered or run",a veneered/inlaid field,let in flush - no bezel,field enrichment,mother-of-pearl,diameter; scatter density,relief.mop_disc_in_bezel - bezel capture is a different interface; every carved master from the same source row,R114.b,R114.b,R114.b=quantity,AUDIT_REQUIRED,One of R114's six stated masters.
inlay.abalone_plaque,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A flat rectangular abalone plaque - shell-cut, set flush.",a flat 2D shell rectangle,a veneered/inlaid field,let in flush,field enrichment,abalone shell,plaque aspect ratio; scale; placement density,"the MOP masters (different shell, different figure); every carved master from the row",R114.e,R114.e,R114.e=quantity,AUDIT_REQUIRED,One of R114's six stated masters.
